DATE,IPG2211A2N,,,ERROR,,,,,,,,0
01-01-1985,72.5052,88.84721763,88.84721763,267.0615403,,,,,alpha,0.2,,
02-01-1985,70.672,85.57881411,88.84721763,222.2131068,,,,,,,,
03-01-1985,62.4502,82.59745128,88.84721763,405.9117343,,,,,29936.88015,,,
04-01-1985,57.4714,78.56800103,88.84721763,445.0665749,,,,,,,,
05-01-1985,55.3151,74.34868082,88.84721763,362.2771989,,,,,,,,
06-01-1985,58.0904,70.54196466,88.84721763,155.0414624,,,,,,,,
07-01-1985,62.6202,68.05165173,88.84721763,29.50066785,,,,,,,,
08-01-1985,63.2485,66.96536138,88.84721763,13.81505853,,,,,,,,
09-01-1985,60.5846,66.2219891,88.84721763,31.78015592,,,,,,,,
10-01-1985,56.3154,65.09451128,88.84721763,77.07279493,,,,,,,,
11-01-1985,58.0005,63.33868903,88.84721763,28.49626209,,,,,,,,
12-01-1985,68.7145,62.27105122,88.84721763,41.51803216,,,,,,,,
01-01-1986,73.3057,63.55974098,88.84721763,94.98371727,,,,,,,,
02-01-1986,67.9869,65.50893278,88.84721763,6.140321534,,,,,,,,
03-01-1986,62.2221,66.00452623,88.84721763,14.30674815,,,,,,,,
04-01-1986,57.0329,65.24804098,88.84721763,67.48854133,,,,,,,,
05-01-1986,55.8137,63.60501278,88.84721763,60.7045549,,,,,,,,
06-01-1986,59.9005,62.04675023,88.84721763,4.606390039,,,,,,,,
07-01-1986,65.7655,61.61750018,88.84721763,17.20590249,,,,,,,,
08-01-1986,64.4816,62.44710015,88.84721763,4.139189658,,,,,,,,
09-01-1986,61.0005,62.85400012,88.84721763,3.435462682,,,,,,,,
10-01-1986,57.5322,62.48330009,88.84721763,24.51339213,,,,,,,,
11-01-1986,59.3417,61.49308007,88.84721763,4.628436225,,,,,,,,
12-01-1986,68.1354,61.06280406,88.84721763,50.02161334,,,,,,,,
01-01-1987,73.8152,62.47732325,88.84721763,128.5474493,,,,,,,,
02-01-1987,70.062,64.7448986,88.84721763,28.27156732,,,,,,,,
03-01-1987,65.61,65.80831888,88.84721763,0.039330378,,,,,,,,
04-01-1987,60.1586,65.7686551,88.84721763,31.47271826,,,,,,,,
05-01-1987,58.8734,64.64664408,88.84721763,33.33034723,,,,,,,,
06-01-1987,63.8918,63.49199527,88.84721763,0.159843825,,,,,,,,
07-01-1987,68.8694,63.57195621,88.84721763,28.06291068,,,,,,,,
08-01-1987,70.0669,64.63144497,88.84721763,29.54417138,,,,,,,,
09-01-1987,64.1151,65.71853598,88.84721763,2.571006929,,,,,,,,
